DATAFLOW,LAST UPDATE,freq,indic_em,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,AT,2014,49.9,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,AT,2017,49.0,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,AT,2020,47.1,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,AT,2023,49.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,BA,2023,11.5,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,BE,2014,21.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,BE,2017,20.9,b
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,BE,2020,22.3,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,BE,2023,25.9,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,BG,2014,14.7,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,BG,2017,16.3,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,BG,2020,13.4,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,BG,2023,16.2,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,CH,2014,61.7,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,CH,2017,62.4,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,CH,2020,59.4,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,CH,2023,59.4,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,CY,2014,25.9,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,CY,2017,30.7,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,CY,2020,32.1,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,CY,2023,36.4,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,CZ,2014,21.6,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,CZ,2017,24.3,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,CZ,2020,19.5,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,CZ,2023,21.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,DE,2014,43.7,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,DE,2017,44.9,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,DE,2020,45.4,b
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,DE,2023,48.7,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,DK,2014,51.2,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,DK,2017,53.9,b
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,DK,2020,54.0,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,DK,2023,58.2,b
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,EA20,2014,29.0,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,EA20,2017,30.9,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,EA20,2020,30.0,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,EA20,2023,34.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,EE,2014,33.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,EE,2017,39.1,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,EE,2020,34.1,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,EE,2023,38.7,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,EL,2014,11.1,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,EL,2017,12.6,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,EL,2020,10.6,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,EL,2023,16.3,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,ES,2014,16.0,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,ES,2017,19.7,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,ES,2020,16.6,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,ES,2023,22.1,d
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,EU27_2020,2014,27.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,EU27_2020,2017,30.1,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,EU27_2020,2020,29.0,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,EU27_2020,2023,33.0,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,FI,2014,42.6,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,FI,2017,43.3,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,FI,2020,40.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,FI,2023,47.9,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,FR,2014,25.2,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,FR,2017,26.1,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,FR,2020,26.1,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,FR,2023,33.6,d
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,HR,2014,15.3,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,HR,2017,21.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,HR,2020,19.0,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,HR,2023,19.5,b
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,HU,2014,21.4,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,HU,2017,26.2,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,HU,2020,24.6,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,HU,2023,23.9,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,IE,2014,36.7,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,IE,2017,39.7,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,IE,2020,35.4,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,IE,2023,48.5,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,IS,2014,73.6,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,IS,2017,76.6,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,IS,2020,68.6,b
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,IS,2023,75.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,IT,2014,12.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,IT,2017,13.9,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,IT,2020,12.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,IT,2023,16.2,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,LT,2014,24.1,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,LT,2017,28.4,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,LT,2020,28.3,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,LT,2023,31.9,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,LU,2014,18.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,LU,2017,24.5,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,LU,2020,24.4,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,LU,2023,25.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,LV,2014,28.3,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,LV,2017,30.9,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,LV,2020,26.5,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,LV,2023,29.5,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,ME,2014,15.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,ME,2017,18.6,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,ME,2020,15.0,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,MK,2014,11.3,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,MK,2017,12.0,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,MK,2020,14.3,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,MT,2014,47.3,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,MT,2017,46.1,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,MT,2020,46.7,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,MT,2023,49.0,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,NL,2014,68.7,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,NL,2017,73.2,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,NL,2020,73.1,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,NL,2023,76.2,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,NO,2014,54.5,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,NO,2017,52.2,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,NO,2020,53.3,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,NO,2023,59.3,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,PL,2014,21.2,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,PL,2017,25.2,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,PL,2020,24.4,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,PL,2023,25.3,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,PT,2014,21.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,PT,2017,24.0,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,PT,2020,21.2,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,PT,2023,26.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,RO,2014,14.0,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,RO,2017,16.6,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,RO,2020,16.1,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,RO,2023,13.7,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,RS,2014,10.1,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,RS,2017,14.6,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,RS,2020,14.2,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,RS,2023,18.1,b
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,SE,2014,44.6,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,SE,2017,46.6,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,SE,2020,40.5,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,SE,2023,44.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,SI,2014,22.6,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,SI,2017,28.7,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,SI,2020,22.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,SI,2023,28.4,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,SK,2014,16.9,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,SK,2017,21.6,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,SK,2020,16.9,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,SK,2023,17.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,TR,2014,22.0,b
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,TR,2017,23.0,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,TR,2020,19.2,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y15-24,PC_POP,TR,2023,25.3,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,AT,2014,70.1,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,AT,2017,71.4,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,AT,2020,70.6,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,AT,2023,73.3,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,BA,2023,42.1,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,BE,2014,62.9,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,BE,2017,63.6,b
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,BE,2020,65.6,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,BE,2023,68.3,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,BG,2014,61.5,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,BG,2017,66.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,BG,2020,68.5,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,BG,2023,72.6,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,CH,2014,76.2,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,CH,2017,77.4,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,CH,2020,78.3,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,CH,2023,79.1,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,CY,2014,63.9,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,CY,2017,66.2,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,CY,2020,69.1,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,CY,2023,74.6,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,CZ,2014,64.7,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,CZ,2017,70.5,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,CZ,2020,71.9,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,CZ,2023,74.5,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,DE,2014,72.1,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,DE,2017,74.2,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,DE,2020,74.4,b
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,DE,2023,77.2,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,DK,2014,71.0,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,DK,2017,73.2,b
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,DK,2020,74.3,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,DK,2023,77.0,b
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EA20,2014,62.5,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EA20,2017,65.3,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EA20,2020,66.0,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EA20,2023,69.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EE,2014,71.9,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EE,2017,76.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EE,2020,76.9,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EE,2023,80.9,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EL,2014,43.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EL,2017,47.4,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EL,2020,48.7,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EL,2023,57.6,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,ES,2014,54.8,
